Date;Close/Last;Volume;Open;High;Low
04.05.2020;2842.74;--;2815.01;2844.24;2797.85
01.05.2020;2830.71;--;2869.09;2869.09;2821.61
30.04.2020;2912.43;--;2930.91;2930.91;2892.47
29.04.2020;2939.51;--;2918.46;2954.86;2912.16
28.04.2020;2863.39;--;2909.96;2921.15;2860.71
27.04.2020;2878.48;--;2854.65;2887.72;2852.89
24.04.2020;2836.74;--;2812.64;2842.71;2791.76
23.04.2020;2797.8;--;2810.42;2844.9;2794.26
22.04.2020;2799.31;--;2787.89;2815.1;2775.95
21.04.2020;2736.56;--;2784.81;2785.54;2727.1
20.04.2020;2823.16;--;2845.62;2868.98;2820.43
17.04.2020;2874.56;--;2842.43;2879.22;2830.88
16.04.2020;2799.55;--;2799.34;2806.51;2764.32
15.04.2020;2783.36;--;2795.64;2801.88;2761.54
14.04.2020;2846.06;--;2805.1;2851.85;2805.1
13.04.2020;2761.63;--;2782.46;2782.46;2721.17
09.04.2020;2789.82;--;2776.99;2818.57;2762.36
08.04.2020;2749.98;--;2685;2760.75;2663.3
07.04.2020;2659.41;--;2738.65;2756.89;2657.67
06.04.2020;2663.68;--;2578.28;2676.85;2574.57
03.04.2020;2488.65;--;2514.92;2538.18;2459.96
02.04.2020;2526.9;--;2458.54;2533.22;2455.79
01.04.2020;2470.5;--;2498.08;2522.75;2447.49
31.03.2020;2584.59;--;2614.69;2641.39;2571.15
30.03.2020;2626.65;--;2558.98;2631.8;2545.28
27.03.2020;2541.47;--;2555.87;2615.91;2520.02
26.03.2020;2630.07;--;2501.29;2637.01;2500.72
25.03.2020;2475.56;--;2457.77;2571.42;2407.53
24.03.2020;2447.33;--;2344.44;2449.71;2344.44
23.03.2020;2237.4;--;2290.71;2300.73;2191.86
20.03.2020;2304.92;--;2431.94;2453.01;2295.56
19.03.2020;2409.39;--;2393.48;2466.97;2319.78
18.03.2020;2398.1;--;2436.5;2453.57;2280.52
17.03.2020;2529.19;--;2425.66;2553.93;2367.04
16.03.2020;2386.13;--;2508.59;2562.98;2380.94
13.03.2020;2711.02;--;2569.99;2711.33;2492.37
12.03.2020;2480.64;--;2630.86;2660.95;2478.86
11.03.2020;2741.38;--;2825.6;2825.6;2707.22
10.03.2020;2882.23;--;2813.48;2882.59;2734
09.03.2020;2746.56;--;2863.89;2863.89;2734.43
06.03.2020;2972.37;--;2954.2;2985.93;2901.54
05.03.2020;3023.94;--;3075.7;3083.04;2999.83
04.03.2020;3130.12;--;3045.75;3130.97;3034.38
03.03.2020;3003.37;--;3096.46;3136.72;2976.63
02.03.2020;3090.23;--;2974.28;3090.96;2945.19
28.02.2020;2954.22;--;2916.9;2959.72;2855.84
27.02.2020;2978.76;--;3062.54;3097.07;2977.39
26.02.2020;3116.39;--;3139.9;3182.51;3108.99
25.02.2020;3128.21;--;3238.94;3246.99;3118.77
24.02.2020;3225.89;--;3257.61;3259.81;3214.65
21.02.2020;3337.75;--;3360.5;3360.76;3328.45
20.02.2020;3373.23;--;3380.45;3389.15;3341.02
19.02.2020;3386.15;--;3380.39;3393.52;3378.83
18.02.2020;3370.29;--;3369.04;3375.01;3355.61
14.02.2020;3380.16;--;3378.08;3380.69;3366.15
13.02.2020;3373.94;--;3365.9;3385.09;3360.52
12.02.2020;3379.45;--;3370.5;3381.47;3369.72
11.02.2020;3357.75;--;3365.87;3375.63;3352.72
10.02.2020;3352.09;--;3318.28;3352.26;3317.77
07.02.2020;3327.71;--;3335.54;3341.42;3322.12
06.02.2020;3345.78;--;3344.92;3347.96;3334.39
05.02.2020;3334.69;--;3324.91;3337.58;3313.75
04.02.2020;3297.59;--;3280.61;3306.92;3280.61
03.02.2020;3248.92;--;3235.66;3268.44;3235.66
31.01.2020;3225.52;--;3282.33;3282.33;3214.68
30.01.2020;3283.66;--;3256.45;3285.91;3242.8
29.01.2020;3273.4;--;3289.46;3293.47;3271.89
28.01.2020;3276.24;--;3255.35;3285.78;3253.22
27.01.2020;3243.63;--;3247.16;3258.85;3234.5
24.01.2020;3295.47;--;3333.1;3333.18;3281.53
23.01.2020;3325.54;--;3315.77;3326.88;3301.87
22.01.2020;3321.75;--;3330.02;3337.77;3320.04
21.01.2020;3320.79;--;3321.03;3329.79;3316.61
17.01.2020;3329.62;--;3323.66;3329.88;3318.86
16.01.2020;3316.81;--;3302.97;3317.11;3302.82
15.01.2020;3289.29;--;3282.27;3298.66;3280.69
14.01.2020;3283.15;--;3285.35;3294.25;3277.19
13.01.2020;3288.13;--;3271.13;3288.13;3268.43
10.01.2020;3265.35;--;3281.81;3282.99;3260.86
09.01.2020;3274.7;--;3266.03;3275.58;3263.67
08.01.2020;3253.05;--;3238.59;3267.07;3236.67
07.01.2020;3237.18;--;3241.86;3244.91;3232.43
06.01.2020;3246.28;--;3217.55;3246.84;3214.64
03.01.2020;3234.85;--;3226.36;3246.15;3222.34
02.01.2020;3257.85;--;3244.67;3258.14;3235.53
31.12.2019;3230.78;--;3215.18;3231.72;3212.03
30.12.2019;3221.29;--;3240.09;3240.92;3216.57
27.12.2019;3240.02;--;3247.23;3247.93;3234.37
26.12.2019;3239.91;--;3227.2;3240.08;3227.2
24.12.2019;3223.38;--;3225.45;3226.43;3220.51
23.12.2019;3224.01;--;3226.05;3227.78;3222.3
20.12.2019;3221.22;--;3223.33;3225.65;3216.03
19.12.2019;3205.37;--;3192.32;3205.48;3192.32
18.12.2019;3191.14;--;3195.21;3198.48;3191.14
17.12.2019;3192.52;--;3195.4;3198.22;3191.03
16.12.2019;3191.45;--;3183.63;3197.71;3183.63
13.12.2019;3168.8;--;3166.65;3182.68;3156.51
12.12.2019;3168.57;--;3141.23;3176.28;3138.47
11.12.2019;3141.63;--;3135.75;3143.98;3133.21
10.12.2019;3132.52;--;3135.36;3142.12;3126.09
09.12.2019;3135.96;--;3141.86;3148.87;3135.46
